target_symbol,uniprot_accession_number,clonality,clone_id,method,tissue_preservation,avr_pdf_filename,antibody_hubmap_id,host,rrid,catalog_number,lot_number,vendor_name,recombinant,organ,author_orcids,hgnc_id,isotype,concentration_value,dilution_factor,conjugate,cycle_number,fluorescent_reporter,manuscript_doi,protocol_doi,vendor_affiliation,organ_uberon_id,antigen_retrieval,omap_id,created_by_user_email,previous_version_id,next_version_id
CTNNB1,P35222,monoclonal,CL3689,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff86e625a69013e4ef9a3372cc0f9a/betaCatenin-CODEX-OMAP6.pdf,HBM383.THVH.295,Mouse,AB_2665844,AMab91209,NA,Atlas Antibodies,No,pancreas,0000-0003-2722-1965,HGNC:2514,IgG2a,,50,Oligonucleotide,2,Cy5,,"10.17504/protocols.io.6qpvr4w6ogmk/v1,10.17504/protocols.io.36wgqj3y3vk5/v1",,UBERON:0001264,6,OMAP-6,ellenmq@iu.edu,,
KRT19,P08727,monoclonal,A53-B/A2,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff87c372918cf10ff4774ecbde0d15/keratin19-CODEX-OMAP6.pdf,HBM929.SCQR.568,Mouse,AB_306048,ab7754,NA,Abcam,No,pancreas,0000-0003-2722-1965,HGNC:6436,IgG2a,,100,Oligonucleotide,4,Atto550,,"10.17504/protocols.io.6qpvr4w6ogmk/v1,10.17504/protocols.io.36wgqj3y3vk5/v1",,UBERON:0001264,6,OMAP-6,ellenmq@iu.edu,,
IAPP,P10997,polyclonal,,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff4f892da13a5282075489d2e77b10/isletAmyloidPolypeptide-CODEX-OMAP6.pdf,HBM643.RZLQ.877,Mouse,AB_2682076,HPA053194,NA,Atlas Antibodies,No,pancreas,0000-0003-2722-1965,HGNC:5329,IgG,,100,Oligonucleotide,9,Atto550,,"10.17504/protocols.io.6qpvr4w6ogmk/v1,10.17504/protocols.io.36wgqj3y3vk5/v1",,UBERON:0001264,6,OMAP-6,ellenmq@iu.edu,,
VIM,P08670,monoclonal,O91D3,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff4f9ebd8e60949528454090146859/vimentin-CODEX-OMAP6.pdf,HBM724.PNRP.965,Mouse,AB_2565982,677802,NA,BioLegend,No,pancreas,0000-0003-2722-1965,HGNC:12692,IgG2a,,100,Oligonucleotide,10,Cy5,,"10.17504/protocols.io.6qpvr4w6ogmk/v1,10.17504/protocols.io.36wgqj3y3vk5/v1",,UBERON:0001264,6,OMAP-6,ellenmq@iu.edu,,
CD14,P08571,monoclonal,HCD14,CODEX,4% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff0cf3299453a297e1d2b87b99cafe/CD14_OMAP13.pdf,HBM472.RDWQ.467,Mouse,AB_830675,325602,B300375,BioLegend,No,pancreas,"0000-0002-8849-6746, 0000-0002-1482-5359",HGNC:1628,IgG1 kappa,,100,Oligonucleotide,9,Atto550,10.1101/2021.12.16.466282,10.17504/protocols.io.36wgq7dryvk5/v1,,UBERON:0001264,,OMAP-13,ellenmq@iu.edu,,
CD19,P15391,monoclonal,HIB19,CODEX,4% PFA fixed frozen,https://assets.hubmapconsortium.org/ffffb53621ce6a7950f7f8be8633b2a4/CD19_OMAP13.pdf,HBM889.WSTD.866,Mouse,AB_2924255,4550099,B346349,Akoya Biosciences,No,pancreas,"0000-0002-8849-6746, 0000-0002-1482-5359",HGNC:1633,IgG1,,200,Oligonucleotide,1,AF647,,10.17504/protocols.io.36wgq7dryvk5/v1,,UBERON:0001264,,OMAP-13,ellenmq@iu.edu,,
GCG,P01275,monoclonal,K79bB10,CODEX,4% PFA fixed frozen,https://assets.hubmapconsortium.org/ffffc1f3b7fde2f45dd6689af86b0d97/GCG_OMAP13.pdf,HBM423.KNWG.538,Mouse,AB_297642,ab10988,GR3212475-1,Abcam,No,pancreas,"0000-0002-8849-6746, 0000-0002-1482-5359",HGNC:4191,IgG1,,400,Oligonucleotide,1,Atto550,10.1101/2021.12.16.466282,10.17504/protocols.io.36wgq7dryvk5/v1,,UBERON:0001264,,OMAP-13,ellenmq@iu.edu,,
GP2,P55259,monoclonal,GP2/1803,CODEX,4% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff2c5c61a175257a7be95b7e1a2236/GP2_OMAP13.pdf,HBM866.CBHF.752,Mouse,AB_2935843,NBP2-75781,2813-3PABX230116,Novus Biologicals,No,pancreas,"0000-0002-8849-6746, 0000-0002-1482-5359",HGNC:4441,IgG2a kappa,,500,Oligonucleotide,8,AF488,,10.17504/protocols.io.36wgq7dryvk5/v1,,UBERON:0001264,,OMAP-13,ellenmq@iu.edu,,
MCAM,P43121,monoclonal,P1H12,CODEX,4% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff26c55cbeb726a7453f1477480d7e/MCAM_OMAP13.pdf,HBM444.ZJXT.365,Mouse,AB_2562883,361002,B257579,BioLegend,No,pancreas,"0000-0002-8849-6746, 0000-0002-1482-5359",HGNC:6934,IgG1 kappa,,200,Oligonucleotide,9,AF488,10.1101/2021.12.16.466282,10.17504/protocols.io.36wgq7dryvk5/v1,,UBERON:0001264,,OMAP-13,ellenmq@iu.edu,,
PECAM1,P16284,monoclonal,WM59,CODEX,4% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff9575872e3a77dde3d2c1487564a1/PECAM1_OMAP13.pdf,HBM539.MRPX.672,Mouse,AB_2895051,4250009,B306393,Akoya Biosciences,No,pancreas,"0000-0002-8849-6746, 0000-0002-1482-5359",HGNC:8823,IgG1,,400,Oligonucleotide,6,Atto550,10.1101/2021.12.16.466282,10.17504/protocols.io.36wgq7dryvk5/v1,,UBERON:0001264,,OMAP-13,ellenmq@iu.edu,,
PPY,P01298,monoclonal,548416,CODEX,4% PFA fixed frozen,https://assets.hubmapconsortium.org/ffffc3efe12ed2e5798477565ef58d72/PPY_OMAP13.pdf,HBM982.KTTF.259,Mouse,AB_11127208,MAB62971,CERM031909C,R&D Systems,No,pancreas,"0000-0002-8849-6746, 0000-0002-1482-5359",HGNC:9327,IgG1,,600,Oligonucleotide,8,Atto550,10.1101/2021.12.16.466282,10.17504/protocols.io.36wgq7dryvk5/v1,,UBERON:0001264,,OMAP-13,ellenmq@iu.edu,,
SYP,P08247,monoclonal,7H12,CODEX,4% PFA fixed frozen,https://assets.hubmapconsortium.org/fffff00a608db8c64185a089cc39c15f/SYP_OMAP13.pdf,HBM993.CPZQ.449,Mouse,AB_2924257,25056SF,12270BF,Cell Signaling Technology,No,pancreas,"0000-0002-8849-6746, 0000-0002-1482-5359",HGNC:11506,IgG1,,300,Oligonucleotide,4,AF647,,10.17504/protocols.io.36wgq7dryvk5/v1,,UBERON:0001264,,OMAP-13,ellenmq@iu.edu,,
GLUL,P15104,monoclonal,1B6G4,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff301812b14a3fd8e9f6680fc184d1/GLUL_OMAP12.pdf,HBM574.GVZQ.994,Mouse,AB_2883309,CL488-66323,21003608,Proteintech,No,retina,0000-0003-2088-8310,HGNC:4341,IgG1,,200,CoraLite Plus 488,1,,,"10.1073/pnas.2018488117,10.1038/s41596-021-00644-9",,UBERON:0000966,,OMAP-12,ellenmq@iu.edu,,
ATP1A1,P05023,monoclonal,EP1845Y,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffffa447d82c6f0d7771a8eff3ebc5b1/NaKATPase-CellDIVEOMAP4.pdf,HBM282.FTPP.728,Rabbit,AB_2890241,ab167390,GR172106-1,Abcam,Yes,skin,0000-0001-7524-8260,HGNC:799,IgG,5,,Cy3,2,,10.1101/2022.03.30.486438,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-4,ellenmq@iu.edu,,
MS4A1,P11836,monoclonal,L26,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff2939c12bd80e31f38ab196437aed/CD20_OMAP11.pdf,HBM658.ZHHD.486,Mouse,AB_10734358,53-0202-82,2141141,Thermo Fisher Scientific,No,spleen,0000-0003-4379-8967,HGNC:7315,IgG2b kappa,,200,AF488,1,,10.1038/s41596-021-00644-9,10.1073/pnas.2018488117,,UBERON:0002106,,OMAP-11,ellenmq@iu.edu,,
ITGAX,P20702,monoclonal,B-Ly6,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff2646da6f264500b8afdf8506d9f7/CD11c_OMAP11.pdf,HBM763.SFNW.724,Mouse,AB_10612006,561352,9185579,BD Biosciences,No,spleen,0000-0003-4379-8967,HGNC:6152,IgG1 kappa,,25,AF700,2,,10.1038/s41596-021-00644-9,10.1073/pnas.2018488117,,UBERON:0002106,,OMAP-11,ellenmq@iu.edu,,
VIM,P08670,monoclonal,O91D3,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff291938f2a8bcc62f17f3f4be4aa8/Vimentin_OMAP11.pdf,HBM942.ZZDK.384,Mouse,AB_2892753,99488 (Custom),B305534,BioLegend,No,spleen,0000-0003-4379-8967,HGNC:12692,IgG2a,,300,AF532,3,,10.1038/s41596-021-00644-9,10.1073/pnas.2018488117,,UBERON:0002106,,OMAP-11,ellenmq@iu.edu,,
CD3E,P07766,monoclonal,UCHT1,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff606143725e5b9fc499babdff97b5/CD3_OMAP11.pdf,HBM385.ZDRV.448,Mouse,AB_2892737,1053135,53A3F1,Caprico Biotechnologies,No,spleen,0000-0003-4379-8967,HGNC:1674,IgG1,,50,iF594,3,,10.1038/s41596-021-00644-9,10.1073/pnas.2018488117,,UBERON:0002106,,OMAP-11,ellenmq@iu.edu,,
CD44,P16070,monoclonal,IM7,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff3409e8c91513aba1595e379a7436/CD44_OMAP11.pdf,HBM372.DNMK.864,Rat,AB_493681,103018,B255990,BioLegend,No,spleen,0000-0003-4379-8967,HGNC:1681,IgG2b kappa,,50,AF647,4,,10.1038/s41596-021-00644-9,10.1073/pnas.2018488117,,UBERON:0002106,,OMAP-11,ellenmq@iu.edu,,
ACTA2,P62736,monoclonal,1A4,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffffbdd6105e50aa365523b529007e04/Alpha_smooth_muscle_actin_OMAP11.pdf,HBM248.QSSW.494,Mouse,AB_2573631,41-9760-82,2116164,Thermo Fisher Scientific,No,spleen,0000-0003-4379-8967,HGNC:130,IgG2a kappa,,100,eF570,4,,10.1038/s41596-021-00644-9,10.1073/pnas.2018488117,,UBERON:0002106,,OMAP-11,ellenmq@iu.edu,,
LUM,P51884,polyclonal,,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffffe969797bc99db0b672eea98d48f0/Lumican_OMAP11.pdf,HBM453.XQXS.364,Goat,AB_2892760,AF2846 (Unconjugated),VPG0519091,R&D Systems,No,spleen,0000-0003-4379-8967,HGNC:6724,IgG,,25,AF680,4,,10.1038/s41596-021-00644-9,10.1073/pnas.2018488117,,UBERON:0002106,,OMAP-11,ellenmq@iu.edu,,
ITGAX,P20702,monoclonal,S-HCL-3,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffff2575e94a878adeed1e2de89d8482/ITGAX_OMAP9.pdf,HBM697.CPQW.737,Mouse,AB_2895050,4350012,B359691,Akoya Biosciences,No,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:6152,IgG2b,,200,Oligonucleotide,4,AF647,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
FOXP3,Q9BZS1,monoclonal,236A/E7,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/fffff5884e05988f3aeb960bfd5f1b9a/FOXP3_OMAP9.pdf,HBM666.DWMK.875,Mouse,AB_2927679,4550071,B373305,Akoya Biosciences,Yes,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:6106,IgG1 kappa,,200,Oligonucleotide,5,AF647,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
CXXC1,P10451,monoclonal,AKm2A1,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffff7a9afbe4dd63ebbf87db0e75cb08/SPP1_OMAP9.pdf,HBM254.XHST.873,Mouse,AB_2194997,sc21742,J1822,Santa Cruz Biotechnology,Yes,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:11255,IgG1 kappa,,200,Oligonucleotide,6,AF488,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
VCAM1,P19320,monoclonal,EPR5047,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffff2d749b08031cea3eadb177500d0a/VCAM1_OMAP9.pdf,HBM827.KNSX.858,Rabbit,AB_2895043,ab271899,GR3375149-2,Abcam,Yes,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:12663,IgG,,200,Oligonucleotide,7,AF488,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
MRC1,P22897,polyclonal,,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffff7bc10495bf7de03510e432594a0a/MRC1_OMAP9.pdf,HBM222.PLKK.859,Goat,AB_2063019,AF2534,VKG0120031,R&D Systems,Yes,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:7228,IgG,,200,Oligonucleotide,7,AF647,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
THY1,P04216,monoclonal,5.00E+10,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffffe6db7644f467427db7c230685052/THY1_OMAP9.pdf,HBM579.MDVZ.249,Mouse,AB_2895055,4150021,B344475,Akoya Biosciences,No,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:11801,IgG1,,200,Oligonucleotide,8,AF488,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
AQP1,P29972,monoclonal,44948,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/fffff836bf933c15486097beb008a10c/AQP1_OMAP9.pdf,HBM294.DZQW.386,Mouse,AB_2895040,sc-32737-X,J1822,Santa Cruz Biotechnology,No,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:633,IgG2b kappa,,100,Oligonucleotide,8,Atto550,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
PECAM1,P16284,monoclonal,WM59,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffff717bcfb49ddd6a2d8e22a5649440/PECAM1_OMAP9.pdf,HBM682.BTZR.283,Mouse,AB_2895051,4250009,B355754,Akoya Biosciences,Yes,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:8823,IgG1,,200,Oligonucleotide,11,Atto550,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
UMOD,P07911,polyclonal,,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffffa8daf68aea6f2341a9a030da16ae/UMOD_OMAP9.pdf,HBM797.DKCB.536,Sheep,AB_2212386,AF5144,CBRF019011,R&D Systems,Yes,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:12559,IgG,,400,Oligonucleotide,15,AF488,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
VIM,P08670,monoclonal,D21H3,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffff5116f3258447310a340dd4f9809a/Vimentin-CellDIVE_OMAP-22.pdf,HBM677.VCDQ.699,Rabbit,AB_10829352,9854,13,Cell Signaling,Yes,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:12692,IgG,10,,AF488,2,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
CD8A,P01732,monoclonal,C8/144B,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffff4765649513237e935496c838a810/CD8a-CellDIVE_OMAP-22.pdf,HBM839.CRCP.223,Mouse,AB_2650712,372906,B384913,BioLegend,No,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:1706,IgG1,2.5,,AF647,2,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
F13A1,P00488,monoclonal,A-4,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffff05c3790f601dcb28044def3dc055/F13A1-CellDIVE_OMAP-22.pdf,HBM339.QZPG.562,Mouse,AB_3105923,sc-271122 AF488,L1923,Santa Cruz,No,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:3531,IgG2b,20,,AF488,6,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
LYVE1,Q9Y5Y7,polyclonal,,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffff935cbf536675219c7ab2b6620069/LYVE1-CellDIVE_OMAP-22.pdf,HBM469.WGWW.684,Goat,AB_355144,AF2089,KPY0120121,R&D,No,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:14687,IgG,2.5,,Cy3,6,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
MKI67,P46013,monoclonal,SP6,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffffd00c3567b0f90280f7bd987e53fe/MKI67-CellDIVE_OMAP-22.pdf,HBM564.FGHB.469,Rabbit,AB_3105924,ab281928,1029024?2,Abcam,Yes,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:7107,IgG,10,,AF647,6,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
VWF,P04275,monoclonal,EPR12010,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffff591a59ec5ec0846140194dfcd0ce/VWF-CellDIVE_OMAP-22.pdf,HBM467.NCJT.282,Rabbit,AB_2890242,ab179451,GR146138-3,Abcam,Yes,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:12726,IgG,2.5,,Cy3,7,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
CD34,P28906,monoclonal,EP373Y,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/fffff2050b4a3ef3a6a1b0f26b791658/CD34-CellDIVE_OMAP-22.pdf,HBM852.QHWZ.929,Rabbit,AB_3107082,ab313155,1000857?25,Abcam,Yes,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:1662,IgG,2.5,,AF555,8,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
DDB2,Q92466,monoclonal,EPR9811,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffffe565ad41eed8b1d08fa5b9af942e/DDB2-CellDIVE_OMAP-22.pdf,HBM779.BPQP.794,Rabbit,AB_2889873,ab181136,1075454?1,Abcam,Yes,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:2718,IgG,5,,Cy3,12,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
FN1,P02751,monoclonal,F14,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffffc4f14bc45898bf5ca387e4bb2ed2/FN1-CellDIVE_OMAP-22.pdf,HBM226.WPPZ.354,Rabbit,AB_732380,ab206928,GR3397251?2,Abcam,Yes,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:3778,IgG,5,,Cy5,13,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
CD19,P15391,monoclonal,MRQ-36,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff6bb1b3c138a7ad95865d14e64a02/CD19_OMAP-28.pdf,HBM865.KRJK.443,Mouse,AB_3083084,119M,1905201,Cell Marque,No,heart,"0000-0002-4184-482X, 0000-0002-9104-5567",HGNC:1633,IgG1 kappa,,50,Oligonucleotide,1,Atto550,,10.17504/protocols.io.5jyl8pzodg2w/v2,,UBERON:0000948,,OMAP-28,LIZMC@pitt.edu,,
MCAM,P43121,monoclonal,EPR3208,CODEX,FFPE,https://assets.hubmapconsortium.org/ffffcf6bbfcd07db8630312cbfe7bb49/MCAM_OMAP-28.pdf,HBM724.RKJT.263,Rabbit,AB_3081922,ab210072,1037566-3,Abcam,Yes,heart,"0000-0002-4184-482X, 0000-0002-9104-5567",HGNC:6934,IgG,,200,Oligonucleotide,2,AF750,,10.17504/protocols.io.5jyl8pzodg2w/v2,,UBERON:0000948,,OMAP-28,LIZMC@pitt.edu,,
UPK3B,Q9BT76,polyclonal,,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff5e92a899784d079aba209c0207ef/UPK3B_OMAP-28.pdf,HBM734.HSMC.585,Rabbit,AB_3540255,NBP3-06026-100ul,HD12DE0612,Novus Biologicals,No,heart,"0000-0002-4184-482X, 0000-0002-9104-5567",HGNC:21444,IgG,,200,Oligonucleotide,2,Atto550,,10.17504/protocols.io.5jyl8pzodg2w/v2,,UBERON:0000948,,OMAP-28,LIZMC@pitt.edu,,
