cnt,period_start_month,class_display,age_at_visit,gender,race_display,ethnicity_display
1612,,,52,,white,not hispanic or latino
1612,,,48,,,not hispanic or latino
1612,,,40,,,not hispanic or latino
1611,,ambulatory,54,,white,not hispanic or latino
1610,,ambulatory,42,,white,
1606,,,48,,white,
1603,,ambulatory,40,,,
1600,,inpatient encounter,,,white,
1598,,ambulatory,57,,,not hispanic or latino
1598,,ambulatory,57,,white,
1596,,ambulatory,50,,white,not hispanic or latino
1595,,ambulatory,44,,white,not hispanic or latino
1594,,,53,,white,not hispanic or latino
1591,,,57,,white,not hispanic or latino
1591,,,46,,,not hispanic or latino
1588,,ambulatory,62,,white,not hispanic or latino
1583,,ambulatory,56,,white,not hispanic or latino
1581,,,41,,white,
1579,,ambulatory,46,,,
1577,,,64,,,
1574,,inpatient encounter,,,,not hispanic or latino
1573,,,42,,white,not hispanic or latino
1573,,ambulatory,61,,white,not hispanic or latino
1571,,,45,,,
1571,,ambulatory,43,,,not hispanic or latino
1568,,,49,,white,not hispanic or latino
1552,,ambulatory,53,,white,
1550,,ambulatory,49,,white,
1546,,,65,,,
1545,,,58,,,
1544,,ambulatory,52,,white,
1539,,,18,,,
1532,,,46,,white,
1532,,ambulatory,51,,white,not hispanic or latino
1532,,ambulatory,48,,white,
1530,,ambulatory,48,,,not hispanic or latino
1523,,,64,,,not hispanic or latino
1523,,ambulatory,42,,white,not hispanic or latino
1517,,ambulatory,57,,white,not hispanic or latino
1514,,ambulatory,45,,,
1512,,ambulatory,41,,white,
1509,,ambulatory,40,,,not hispanic or latino
1502,,,45,,,not hispanic or latino
1500,,,48,,white,not hispanic or latino
1500,,ambulatory,46,,,not hispanic or latino
1499,,,41,,white,not hispanic or latino
1498,,ambulatory,18,,,
1497,,,38,,,
1493,,ambulatory,49,,white,not hispanic or latino
1492,,,65,,,not hispanic or latino
1484,,,64,,white,
1482,,,45,,white,
1481,,ambulatory,53,,white,not hispanic or latino
1480,,ambulatory,64,,,
1478,2/1/2014,,,,,
1477,,ambulatory,52,,white,not hispanic or latino
1475,,,58,,,not hispanic or latino
1468,,inpatient encounter,,,white,not hispanic or latino
1461,,,63,,,
1458,,,58,,white,
1458,,,46,,white,not hispanic or latino
1455,,,40,,white,
1454,,ambulatory,58,,,
1449,,ambulatory,45,,,not hispanic or latino
1449,2/1/2014,ambulatory,,,,
1447,,ambulatory,46,,white,
1443,,,37,,,
1433,,ambulatory,41,,white,not hispanic or latino
1431,,,64,,white,not hispanic or latino
1430,,,39,,,
1428,,ambulatory,45,,white,
1426,,ambulatory,64,,,not hispanic or latino
1426,,ambulatory,48,,white,not hispanic or latino
1420,,,45,,white,not hispanic or latino
1417,,,63,,white,
1410,,,34,,,
1410,,,18,,,not hispanic or latino
1405,,,63,,,not hispanic or latino
1395,2/1/2014,,,,,not hispanic or latino
1392,,,58,,white,not hispanic or latino
1388,,ambulatory,64,,white,
1386,,ambulatory,63,,,
1385,,,65,,white,
1385,,ambulatory,58,,,not hispanic or latino
1384,,,18,,white,
1379,,ambulatory,38,,,
1376,,ambulatory,58,,white,
1376,,ambulatory,46,,white,not hispanic or latino
1374,,,38,,white,
1373,,ambulatory,18,,,not hispanic or latino
1370,,ambulatory,45,,white,not hispanic or latino
1366,2/1/2014,ambulatory,,,,not hispanic or latino
1363,,,63,,white,not hispanic or latino
1363,,,40,,white,not hispanic or latino
1355,,ambulatory,40,,white,
1353,,ambulatory,37,,,
1350,,ambulatory,65,,,
1348,,,47,,,
1348,,,43,,white,
1345,,,2,,,
1345,,ambulatory,18,,white,
1345,2/1/2014,,,,white,
1343,,ambulatory,63,,white,
1335,,ambulatory,64,,white,not hispanic or latino
1333,,,79,,,
1333,,,65,,white,not hispanic or latino
1333,,ambulatory,63,,,not hispanic or latino
1330,,,38,,,not hispanic or latino
1330,,ambulatory,34,,,
1329,,,37,,white,
1327,,,79,,white,
1321,,ambulatory,39,,,
1320,2/1/2014,ambulatory,,,white,
1317,,ambulatory,2,,,
1312,,,78,,,
1311,,ambulatory,58,,white,not hispanic or latino
1302,,,1,male,,
1301,,,78,,white,
1299,,ambulatory,65,,,not hispanic or latino
1298,,,47,,,not hispanic or latino
1292,,ambulatory,63,,white,not hispanic or latino
1284,,,79,,,not hispanic or latino
1284,,,43,,white,not hispanic or latino
1284,,,39,,,not hispanic or latino
1282,,ambulatory,1,male,,
1281,,,,,unknown,
1281,,,,,unknown,not hispanic or latino
1278,,,79,,white,not hispanic or latino
1277,,ambulatory,43,,white,
1275,,,31,,,
1270,,ambulatory,38,,white,
1268,,ambulatory,40,,white,not hispanic or latino
1267,,,34,,white,
1266,,,18,,white,not hispanic or latino
1266,,ambulatory,47,,,
1265,2/1/2014,,,,white,not hispanic or latino
1257,,,39,,white,
1251,,,2,,,not hispanic or latino
1250,,,47,,white,
1250,,,37,,,not hispanic or latino
1242,,ambulatory,37,,white,
1240,2/1/2014,ambulatory,,,white,not hispanic or latino
1238,,,0,male,,
1236,,,3,,,
1231,,ambulatory,18,,white,not hispanic or latino
1229,,,2,,white,
1228,,ambulatory,0,male,,
1225,,ambulatory,47,,,not hispanic or latino
1225,,ambulatory,2,,,not hispanic or latino
1223,,,1,male,,not hispanic or latino
1223,,ambulatory,,,unknown,
1223,,ambulatory,,,unknown,not hispanic or latino
1219,,ambulatory,43,,white,not hispanic or latino
1218,,ambulatory,38,,,not hispanic or latino
1217,,ambulatory,78,,,
1215,,ambulatory,31,,,
1212,,,38,,white,not hispanic or latino
1211,,,53,male,,
1211,,,34,,,not hispanic or latino
1210,,,36,,,
1207,,ambulatory,3,,,
1206,,ambulatory,78,,white,
1206,,ambulatory,2,,white,
1205,,ambulatory,1,male,,not hispanic or latino
1203,,,47,,white,not hispanic or latino
1202,,ambulatory,79,,,
1197,,ambulatory,34,,white,
1196,,ambulatory,79,,white,
1196,,ambulatory,65,,white,
1187,,,55,male,,
1181,,,32,,,
1178,,ambulatory,39,,,not hispanic or latino
1173,,ambulatory,47,,white,
1171,,,,,asian,
1170,,,42,female,,
1166,,,19,,,
1164,,,35,,,
1164,,ambulatory,53,male,,
1163,,ambulatory,37,,,not hispanic or latino
1157,,,54,male,,
1156,,ambulatory,79,,,not hispanic or latino
1154,,,66,,,
1152,,ambulatory,39,,white,
1151,,,0,male,,not hispanic or latino
1150,,,1,male,white,
1150,,ambulatory,79,,white,not hispanic or latino
1149,,,3,,,not hispanic or latino
1147,,ambulatory,55,male,,
1146,,ambulatory,65,,white,not hispanic or latino
1144,,,53,male,,not hispanic or latino
1142,,,25,,,
1142,,,2,,white,not hispanic or latino
1141,,ambulatory,0,male,,not hispanic or latino
1140,,,37,,white,not hispanic or latino
1137,,ambulatory,34,,,not hispanic or latino
1136,,ambulatory,42,female,,
1135,,,78,,,not hispanic or latino
1135,,,36,,white,
1135,,ambulatory,47,,white,not hispanic or latino
1134,,ambulatory,1,male,white,
1133,,,3,,white,
1130,,,55,male,,not hispanic or latino
1130,,ambulatory,19,,,
1124,,,78,,white,not hispanic or latino
1121,,,42,female,,not hispanic or latino
1120,,ambulatory,3,,,not hispanic or latino
1120,,ambulatory,2,,white,not hispanic or latino
1118,,ambulatory,54,male,,
1115,,,66,,,not hispanic or latino
1115,,,39,,white,not hispanic or latino
1112,,ambulatory,38,,white,not hispanic or latino
1111,,,33,,,
1111,,,31,,white,
1106,,,54,male,,not hispanic or latino
1106,,ambulatory,3,,white,
1104,,ambulatory,53,male,,not hispanic or latino
1102,,,60,female,,
1101,,,50,male,,
1100,,,,,asian,not hispanic or latino
1099,,,44,female,,
1093,,,51,male,,
1092,,,28,,,
1092,,ambulatory,55,male,,not hispanic or latino
1092,,ambulatory,32,,,
1091,,,0,male,white,
1091,,ambulatory,,,asian,
1089,,ambulatory,42,female,,not hispanic or latino
1085,,,1,male,white,not hispanic or latino
1082,,ambulatory,0,male,white,
1081,,,78,male,,
1081,,,34,,white,not hispanic or latino
1079,,ambulatory,36,,,
1078,,ambulatory,35,,,
1076,,,56,male,,
1076,,,32,,white,
1072,,,78,male,white,
1072,,,41,female,,
1071,,,60,female,white,
1071,,,31,,,not hispanic or latino
1070,,ambulatory,1,male,white,not hispanic or latino
1068,,ambulatory,54,male,,not hispanic or latino
1064,,ambulatory,50,male,,
1063,,ambulatory,44,female,,
1062,,ambulatory,66,,,
1062,,ambulatory,31,,white,
1059,,,19,,,not hispanic or latino
1058,,,44,female,,not hispanic or latino
1057,,,3,,white,not hispanic or latino
1056,,ambulatory,37,,white,not hispanic or latino
1049,,ambulatory,60,female,,
1049,,ambulatory,25,,,
1048,,,55,male,white,
1048,,ambulatory,51,male,,
1045,,ambulatory,78,,,not hispanic or latino
1044,,,25,,white,
1041,,,80,,,
1041,,,25,,,not hispanic or latino
1038,,,51,male,,not hispanic or latino
1038,,ambulatory,41,female,,
1037,,,80,,white,
1037,,,60,female,,not hispanic or latino
1036,,,52,male,,
1034,,ambulatory,78,,white,not hispanic or latino
1033,,,81,,,
1032,,ambulatory,56,male,,
1032,,ambulatory,33,,,
1031,,,81,,white,
1030,,ambulatory,3,,white,not hispanic or latino
1029,,,56,male,,not hispanic or latino
1027,,ambulatory,19,,,not hispanic or latino
1025,,ambulatory,66,,,not hispanic or latino
1025,,ambulatory,44,female,,not hispanic or latino
1023,,,61,female,,
1023,,ambulatory,,,asian,not hispanic or latino
1022,,,50,male,,not hispanic or latino
1022,,,44,female,white,
1022,,ambulatory,28,,,
1021,,,14,,,
1019,,,41,female,,not hispanic or latino
1019,,ambulatory,60,female,white,
1018,,ambulatory,31,,,not hispanic or latino
1017,,ambulatory,34,,white,not hispanic or latino
1016,,,0,male,white,not hispanic or latino
1015,,,35,,white,
1015,,ambulatory,36,,white,
1014,,ambulatory,55,male,white,
1013,,,80,,,not hispanic or latino
1013,,ambulatory,39,,white,not hispanic or latino
1011,,,33,,white,
1010,,,19,,white,
1010,,ambulatory,78,male,,
1009,,,80,,white,not hispanic or latino
1009,,,60,female,white,not hispanic or latino
1008,,,36,,,not hispanic or latino
1007,,ambulatory,0,male,white,not hispanic or latino
1006,,,81,,,not hispanic or latino
1005,,,22,,,
1005,,,15,,,
1004,,,81,,white,not hispanic or latino
1003,,,66,,white,
1001,,ambulatory,78,male,white,
999,,,55,male,white,not hispanic or latino
997,,ambulatory,32,,white,
996,,ambulatory,51,male,,not hispanic or latino
995,,,35,,,not hispanic or latino
990,,,61,female,white,
990,,,46,female,,
990,,ambulatory,60,female,,not hispanic or latino
988,,,52,male,,not hispanic or latino
988,,ambulatory,56,male,,not hispanic or latino
988,,ambulatory,50,male,,not hispanic or latino
987,,ambulatory,41,female,,not hispanic or latino
986,,ambulatory,61,female,,
986,,ambulatory,44,female,white,
983,,,,male,unknown,
983,,,,male,unknown,not hispanic or latino
983,,,54,male,white,
983,,,44,female,white,not hispanic or latino
983,,,28,,,not hispanic or latino
981,,,59,female,,
981,,,29,,,
980,,,77,,,
979,,,43,female,,
979,,ambulatory,52,male,,
979,,ambulatory,19,,white,
975,,,61,female,,not hispanic or latino
975,,,32,,,not hispanic or latino
974,,,77,,white,
970,,,69,,,
968,,,72,,,
967,,,28,,white,
966,,ambulatory,55,male,white,not hispanic or latino
965,,,71,,,
965,,,66,,white,not hispanic or latino
963,,,14,,,not hispanic or latino
963,,ambulatory,60,female,white,not hispanic or latino
962,,ambulatory,14,,,
959,,ambulatory,80,,,
958,,,46,female,,not hispanic or latino
957,,ambulatory,61,female,white,
957,,ambulatory,25,,,not hispanic or latino
956,,ambulatory,22,,,
955,,,16,,,
955,,ambulatory,81,,,
955,,ambulatory,80,,white,
954,,,57,female,,
954,,,25,,white,not hispanic or latino
954,,ambulatory,25,,white,
953,,ambulatory,81,,white,
951,,,15,,,not hispanic or latino
950,,ambulatory,59,female,,
950,,ambulatory,44,female,white,not hispanic or latino
949,,,59,female,,not hispanic or latino
949,,,42,female,white,
949,,,30,,,
949,,,1,female,,
948,,,72,,white,
948,,,61,female,white,not hispanic or latino
948,,,59,male,,
948,,ambulatory,54,male,white,
947,,,59,female,white,
946,,,43,female,,not hispanic or latino
943,,ambulatory,35,,white,
942,,,54,male,white,not hispanic or latino
942,,ambulatory,33,,white,
941,,,53,male,white,
940,,,79,male,,
940,,ambulatory,,male,unknown,
940,,ambulatory,,male,unknown,not hispanic or latino
940,,ambulatory,61,female,,not hispanic or latino
940,,ambulatory,46,female,,
938,,,49,female,,
938,,,36,,white,not hispanic or latino
937,,ambulatory,43,female,,
936,,,79,male,white,
936,,,48,female,,
934,,,68,,,
934,,,41,female,white,
932,,ambulatory,80,,,not hispanic or latino
932,,ambulatory,52,male,,not hispanic or latino
931,,,71,,,not hispanic or latino
931,,,22,,,not hispanic or latino
929,,,69,,white,
928,,,72,,,not hispanic or latino
928,,ambulatory,81,,,not hispanic or latino
928,,ambulatory,80,,white,not hispanic or latino
927,,,50,female,,
927,,,19,,white,not hispanic or latino
926,,ambulatory,81,,white,not hispanic or latino
926,,ambulatory,1,female,,
923,,,62,female,,
922,,,46,female,white,
922,,ambulatory,57,female,,
920,,,71,,white,
920,,ambulatory,35,,,not hispanic or latino
920,,ambulatory,16,,,
919,,ambulatory,72,,,
919,,ambulatory,59,female,,not hispanic or latino
919,,ambulatory,28,,,not hispanic or latino
918,,,77,,,not hispanic or latino
918,,,38,female,,
918,,,22,,white,
918,,ambulatory,59,female,white,
918,,ambulatory,42,female,white,
917,,,57,female,white,
917,,ambulatory,15,,,
916,,,59,male,,not hispanic or latino
916,,,59,female,white,not hispanic or latino
916,,ambulatory,61,female,white,not hispanic or latino
915,,,31,,white,not hispanic or latino
915,,,17,,,
914,,ambulatory,14,,,not hispanic or latino
913,,,40,female,,
913,,,4,,,
912,,,77,,white,not hispanic or latino
912,,ambulatory,66,,white,
910,,,52,female,,
910,,,48,female,,not hispanic or latino
910,,,16,,,not hispanic or latino
910,,ambulatory,46,female,,not hispanic or latino
909,,,72,,white,not hispanic or latino
909,,,49,female,,not hispanic or latino
908,,,62,female,white,
908,,,0,female,,
908,,ambulatory,54,male,white,not hispanic or latino
908,,ambulatory,43,female,,not hispanic or latino
906,,,78,male,,not hispanic or latino
906,,,51,male,white,
906,,,42,female,white,not hispanic or latino
905,,,50,male,white,
905,,ambulatory,59,male,,
905,,ambulatory,28,,white,
903,,,49,male,,
903,,,33,,,not hispanic or latino
903,,ambulatory,41,female,white,
901,,,57,female,,not hispanic or latino
901,,,42,male,,
900,,,79,male,,not hispanic or latino
900,,,50,female,,not hispanic or latino
900,,ambulatory,29,,,
900,,ambulatory,19,,white,not hispanic or latino
899,,,68,,white,
899,,ambulatory,72,,white,
899,,ambulatory,38,female,,
898,,ambulatory,0,female,,
897,,,78,male,white,not hispanic or latino
896,,,79,male,white,not hispanic or latino
896,,ambulatory,53,male,white,
895,,,51,female,,
895,,ambulatory,32,,,not hispanic or latino
892,,,75,,,
891,,,49,female,white,
891,,,46,female,white,not hispanic or latino
891,,inpatient encounter,,female,,
891,,ambulatory,71,,,
890,,ambulatory,69,,,
890,,ambulatory,57,female,white,
889,,,69,,,not hispanic or latino
888,,,41,female,white,not hispanic or latino
888,,ambulatory,77,,,
888,,ambulatory,59,female,white,not hispanic or latino
888,,ambulatory,40,female,,
887,,,71,,white,not hispanic or latino
886,,,67,,,
884,,,29,,white,
884,,ambulatory,49,male,,
884,,ambulatory,36,,,not hispanic or latino
884,,ambulatory,22,,,not hispanic or latino
883,,ambulatory,77,,white,
882,,,,,native hawaiian or other pacific islander,
882,,,68,,,not hispanic or latino
882,,,52,female,,not hispanic or latino
882,,,45,female,,
881,,,70,,,
881,,,15,,white,
881,,ambulatory,72,,,not hispanic or latino
880,,,53,male,white,not hispanic or latino
880,,,32,,white,not hispanic or latino
878,,ambulatory,16,,,not hispanic or latino
877,,ambulatory,48,female,,
877,,ambulatory,42,female,white,not hispanic or latino
877,,ambulatory,4,,,
876,,,75,,white,
876,,ambulatory,66,,white,not hispanic or latino
876,,ambulatory,49,female,,
875,,ambulatory,46,female,white,
873,,ambulatory,59,male,,not hispanic or latino
873,,ambulatory,42,male,,
873,,ambulatory,31,,white,not hispanic or latino
873,,ambulatory,22,,white,
872,,,62,female,,not hispanic or latino
872,,ambulatory,57,female,,not hispanic or latino
872,,ambulatory,25,,white,not hispanic or latino
872,,ambulatory,15,,,not hispanic or latino
871,,ambulatory,50,male,white,
871,,ambulatory,17,,,
870,,,62,male,,
870,,,48,female,white,
869,,,60,male,,
869,,,30,,white,
868,,,56,male,white,
868,,,50,female,white,
868,,ambulatory,62,female,,
866,,,16,,white,
866,,ambulatory,51,male,white,
865,,,76,,,
865,,,57,female,white,not hispanic or latino
865,,,52,female,white,
865,,,49,male,,not hispanic or latino
864,,,35,,white,not hispanic or latino
864,,,28,,white,not hispanic or latino
863,,,49,female,white,not hispanic or latino
863,,,17,,,not hispanic or latino
863,,ambulatory,50,female,,
862,,,40,female,,not hispanic or latino
862,,ambulatory,,,native hawaiian or other pacific islander,
862,,ambulatory,72,,white,not hispanic or latino
860,,ambulatory,30,,,
859,,,1,female,,not hispanic or latino
859,,ambulatory,71,,,not hispanic or latino
859,,ambulatory,41,female,white,not hispanic or latino
858,,,62,female,white,not hispanic or latino
858,,,38,female,white,
857,,,59,male,white,
856,,,76,,white,
856,,,73,,,
856,,,1,female,white,
855,,,56,female,,
855,,,51,male,white,not hispanic or latino
855,,,45,female,,not hispanic or latino
854,,,58,female,,
854,,ambulatory,62,female,white,
853,,ambulatory,45,female,,
852,,ambulatory,71,,white,
852,,ambulatory,69,,white,
851,,,68,,white,not hispanic or latino
851,,ambulatory,48,female,,not hispanic or latino
849,,,69,,white,not hispanic or latino
849,,,50,male,white,not hispanic or latino
849,,,39,female,,
849,,,22,,white,not hispanic or latino
849,,ambulatory,49,female,,not hispanic or latino
848,,,,,native hawaiian or other pacific islander,not hispanic or latino
848,,,67,,,not hispanic or latino
847,,ambulatory,49,male,,not hispanic or latino
846,,,42,male,,not hispanic or latino
846,,ambulatory,46,female,white,not hispanic or latino
845,,,73,,white,
845,,,70,,white,
845,,,48,female,white,not hispanic or latino
844,,ambulatory,38,female,white,
843,,inpatient encounter,,female,,not hispanic or latino
842,,,50,female,white,not hispanic or latino
842,,ambulatory,53,male,white,not hispanic or latino
841,,inpatient encounter,,female,white,
841,,ambulatory,68,,,
841,,ambulatory,62,male,,
841,,ambulatory,57,female,white,not hispanic or latino
841,,ambulatory,1,female,,not hispanic or latino
840,,,60,male,white,
840,,,51,female,white,
840,,,14,,white,
840,,ambulatory,78,male,,not hispanic or latino
839,,,51,female,,not hispanic or latino
839,,,40,female,white,
838,,,52,female,white,not hispanic or latino
838,,ambulatory,40,female,,not hispanic or latino
837,,,62,male,white,
837,,,4,,white,
837,,ambulatory,50,female,,not hispanic or latino
836,,,4,,,not hispanic or latino
836,,,17,,white,
836,,ambulatory,56,male,white,
835,,,45,female,white,
835,,ambulatory,33,,,not hispanic or latino
835,,ambulatory,1,female,white,
834,,,56,female,white,
834,,ambulatory,16,,white,
833,,,77,male,,
833,,,70,,,not hispanic or latino
832,,,56,female,,not hispanic or latino
832,,,15,,white,not hispanic or latino
832,,ambulatory,79,male,,
832,,ambulatory,77,,,not hispanic or latino
832,,ambulatory,60,male,,
832,,ambulatory,49,female,white,
831,,ambulatory,78,male,white,not hispanic or latino
830,,,60,male,,not hispanic or latino
830,,ambulatory,,,native hawaiian or other pacific islander,not hispanic or latino
829,,ambulatory,59,male,white,
828,,,77,male,white,
828,,,16,,white,not hispanic or latino
828,,ambulatory,79,male,white,
827,,,65,male,,
827,,,59,male,white,not hispanic or latino
827,,,2,male,,
827,,ambulatory,77,,white,not hispanic or latino
827,,ambulatory,56,female,,
827,,ambulatory,45,female,,not hispanic or latino
826,,,62,male,,not hispanic or latino
826,,,54,female,,
825,,,58,female,white,
825,,ambulatory,62,female,,not hispanic or latino
825,,ambulatory,36,,white,not hispanic or latino
824,,,56,male,white,not hispanic or latino
824,,ambulatory,39,female,,
823,,ambulatory,42,male,,not hispanic or latino
822,,ambulatory,52,female,,
821,,inpatient encounter,,male,,
821,,ambulatory,71,,white,not hispanic or latino
820,,,0,female,white,
820,,ambulatory,17,,,not hispanic or latino
819,,ambulatory,48,female,white,
819,,ambulatory,40,female,white,
818,,ambulatory,51,male,white,not hispanic or latino
817,,,58,female,,not hispanic or latino
817,,ambulatory,75,,,
816,,,52,male,white,
816,,,29,,,not hispanic or latino
816,,,0,female,,not hispanic or latino
816,,ambulatory,50,male,white,not hispanic or latino
815,,,26,,,
815,,ambulatory,62,male,white,
815,,ambulatory,2,male,,
814,,,73,,,not hispanic or latino
814,,,37,female,,
814,,ambulatory,51,female,,
813,,,57,male,,
813,,,56,female,white,not hispanic or latino
813,,ambulatory,73,,,
812,,,18,female,,
812,,ambulatory,76,,,
812,,ambulatory,70,,,
812,,ambulatory,62,female,white,not hispanic or latino
812,,ambulatory,0,female,white,
811,,,41,male,,
811,,,33,,white,not hispanic or latino
810,,,64,male,,
810,,ambulatory,69,,,not hispanic or latino
810,,ambulatory,68,,white,
809,,,55,female,,
809,,,45,female,white,not hispanic or latino
809,,ambulatory,56,female,white,
809,,ambulatory,45,female,white,
809,,ambulatory,32,,white,not hispanic or latino
808,,ambulatory,4,,,not hispanic or latino
808,,ambulatory,28,,white,not hispanic or latino
807,,,34,female,,
807,,,23,,,
807,,ambulatory,0,female,,not hispanic or latino
806,,ambulatory,49,female,white,not hispanic or latino
806,,ambulatory,29,,white,
806,,ambulatory,22,,white,not hispanic or latino
805,,,73,,white,not hispanic or latino
805,,ambulatory,58,female,,
